id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
helping-hand,Helping Hand,Normal,EOT,,,,,Status,"4, 1 Target, Priority","Helping Hand grants the target +2 on their next Accuracy Roll this round, and +10 to the next Damage Roll this round.",core,399,False
hex,Hex,Ghost,EOT,2,7,2d6+10,17,Special,"6, 1 Target","Once a Scene, if Hex's target has a Status Affliction, you may have Hex's Damage Base be 13 instead (4d10+10 / 35).",core,377,False
hidden-power,Hidden Power,Normal,EOT,2,6,2d6+8,15,Special,Burst 1,"When a Pokémon first obtains the Move Hidden Power, roll 1d20. Hidden Power's Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fairy on 5; Fighting on 6; Fire on 7; Flying on 8; Ghost on 9; Grass on 10; Ground on 11; Ice on 12; Normal on 13; Poison on 14; Psychic on 15; Rock on 16; Steel on 17; Water on 18; and on 19 or 20, reroll until you roll another number. This effect is permanent -if Hidden Power is forgotten and relearned, the chosen Type remains the same.",core,399,False
high-horsepower,High Horsepower,Ground,Scene x2,3,10,3d8+10,24,Physical,"Melee, 1 Target","High Horsepower may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, High Horsepower gains Smite.",sumo,17,False
high-jump-kick,High Jump Kick,Fighting,EOT,3,13,4d10+10,35,Physical,"Melee, Dash, 1 Target","If High Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect.",core,365,False
hold-hands,Hold Hands,Normal,Scene x2,,,,,Status,"Melee, 1 Target","The target and the user each gain three Ticks of Temporary Hit Points, and a +2 Bonus to Save Checks for 1 full round.",sep2015,4,False
hone-claws,Hone Claws,Dark,At-Will,,,,,Status,Self,"The user's Accuracy is raised by +1, and the user gains +1 Attack Combat Stage.",core,351,False
horn-attack,Horn Attack,Normal,At-Will,2,7,2d6+10,17,Physical,"Melee, 1 Target, Dash",None,core,399,False
horn-drill,Horn Drill,Normal,Daily,,,,,Status,"Melee, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level.",core,399,False
horn-leech,Horn Leech,Grass,Scene x2,2,8,2d8+10,19,Physical,"Melee, 1 Target, Dash","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",core,381,False
howl,Howl,Normal,EOT,,,,,Status,Burst 1,The user and all allies in the Burst have their Attack CS raised by 1.,new,12,False
hurricane,Hurricane,Flying,Scene x2,7,11,3d10+10,27,Special,"Burst 1, Smite","Hurricane Confuses its target on 15+. If the target is in Sunny Weather, Hurricane's Accuracy Check is 11. If the target is in Rainy Weather, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss.",core,374,False
hydro-cannon,Hydro Cannon,Water,Daily x2,4,15,4d10+20,45,Special,"Line 9, Smite, Exhaust",None,core,433,False
hydro-pump,Hydro Pump,Water,Scene x2,4,11,3d10+10,27,Special,"6, 1 Target, Push",The target is pushed away from the user 3 meters.,core,433,False
hyper-beam,Hyper Beam,Normal,Daily x2,4,15,4d10+20,45,Special,"10, 1 Target, Exhaust, Smite",None,core,400,False
hyper-fang,Hyper Fang,Normal,At-Will,4,8,2d8+10,19,Physical,"Melee, 1 Target",Hyper Fang Flinches the target on 19+,core,400,False
hyper-voice,Hyper Voice,Normal,Scene x2,2,9,2d10+10,21,Special,"Close Blast 3, Sonic, Smite","All Legal Targets are pushed back to the squares immediately outside the blast, away from the user.",core,400,False
hyperspace-fury,Hyperspace Fury,Dark,Daily,2,10,3d8+10,24,Physical,Burst 2,Interrupts may not be triggered against Hyperspace Fury. The user's Defense is lowered by -1 Combat Stage.,sumo,8,False
hyperspace-hole,Hyperspace Hole,Psychic,Daily,2,8,2d8+10,19,Special,"Melee, 3 Targets","Make and resolve of Hyperspace Hole's attacks separately. In between each attack, the user may Shift using their Teleporter capability, ending the Shift next to a legal target. Interrupts may not be triggered against Hyperspace Hole.",sumo,21,False
hypnosis,Hypnosis,Psychic,Scene x2,6,,,,Status,"4, 1 Target",The target falls Asleep.,core,420,False
ice-ball,Ice Ball,Ice,At-Will,4,3,1d6+5,9,Physical,"Melee, 1 Target","The user continues to use Ice Ball on each of its turns until they miss any target with Ice Ball, or are not able to hit any target with Ice Ball during their turn. Each successive use of Ice Ball increases Ice Ball's Damage Base by +3 to a maximum of DB 15.",core,389,False
ice-beam,Ice Beam,Ice,EOT,2,9,2d10+10,21,Special,"4, 1 Target",Ice Beam Freezes on 19+ during Accuracy Check.,core,389,False
ice-burn,Ice Burn,Ice,Scene,4,14,4d10+15,40,Special,"10, Single Target, Set-Up, Full Action","The user may shift, then ends their turn. The user uses Ice Burn. Ice Burn Burns on 15+.",core,389,False
ice-fang,Ice Fang,Ice,At-Will,3,7,2d6+10,17,Physical,"Melee, 1 Target","Ice Fang Freezes or Flinches on 18+ during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches.",core,389,False
ice-hammer,Ice Hammer,Ice,EOT,4,10,3d8+10,24,Physical,"Melee, 1 Target",The user's Speed is lowered by 1 Combat Stage.,sumo,18,False
ice-punch,Ice Punch,Ice,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target",Ice Punch Freezes the target on 19+ during Accuracy Check.,core,389,False
ice-shard,Ice Shard,Ice,At-Will,2,4,1d8+6,11,Physical,"4, 1 Target, Priority",None,core,390,False
icicle-crash,Icicle Crash,Ice,EOT,4,8,2d8+10,19,Physical,"6, 1 Target",Icicle Crash Flinches the target on 15+.,core,390,False
icicle-spear,Icicle Spear,Ice,EOT,4,3,1d6+5,9,Physical,"6, 1 Target, Five Strike",None,core,390,False
icy-wind,Icy Wind,Ice,EOT,3,6,2d6+8,15,Special,Cone 2,All Legal Targets have their Speed lowered 1 Combat Stage.,core,390,False
imprison,Imprison,Psychic,Scene x2,,,,,Status,"10, 1 Target",The target is Locked for the rest of the Scene. A Locked target may not use any Moves the user knows. Imprison cannot miss.,core,420,False
incinerate,Incinerate,Fire,At-Will,2,6,2d6+8,15,Special,Line 3,"If a target is holding a Held Item or Main or Off- Hand item, they must either drop it immediately or lose a Tick of Hit Points. This may only cause a target to lose at most one Tick of Hit Points, no matter how many items they were holding.",core,371,False
inferno,Inferno,Fire,At-Will,9,10,3d8+10,24,Special,"6, 1 Target",Inferno Burns the target. Inferno ignores the target's Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,core,371,False
infestation,Infestation,Bug,Scene x2,4,4,1d8+6,11,Special,"3, 1 Target",The target is put in a Vortex.,core,347,False
ingrain,Ingrain,Grass,Scene,,,,,Status,"Self, Coat","Ingrain applies a Coat to the user, which has the following effect; the user cannot be pushed or pulled, and cannot be switched out. At the beginning of each of the user's turn, the user gains a Tick of Hit Points.",core,381,False
instruct,Instruct,Psychic,Scene x2,,,,,Status,"Melee, 1 Target","The target immediately reuses the attack it performed last, ignoring frequency, as a Free Action. They may choose new targets for the copied attack. Instruct may not be used if the Target's last Move was Instruct.",sumo,21,False
ion-deluge,Ion Deluge,Electric,Scene,,,,,Status,"5, Ranged Blast 3, Interupt",An ion cloud is dispersed in the targeted area. All Normal-Type Moves targeting into or originating from the area become Electric-Typed Moves.,core,357,False
iron-defense,Iron Defense,Steel,EOT,,,,,Status,Self,Raise the user's Defense 2 Combat Stages.,core,429,False
iron-head,Iron Head,Steel,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target, Dash",Iron Head Flinches the target on 15+.,core,430,False
iron-tail,Iron Tail,Steel,Scene x2,6,10,3d8+10,24,Physical,"Melee, 1 Target, Smite",Iron Tail lowers the target's Defense 1 Combat Stage on 15+.,core,430,False
jaw-lock,Jaw Lock,Dark,Scene x2,2,8,2d6+8,19,Physical,"Melee, 1 Target",You may perform a Grapple Maneuver against the target as a Free Action.,new,5,False
judgment,Judgment,Normal,Daily,2,10,3d8+10,24,Special,"6, Ranged Blast 3, Smite",Judgment's Type can be whatever Elemental Type the user wants it to be.,core,400,False
jump-kick,Jump Kick,Fighting,At-Will,3,10,3d8+10,24,Physical,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect.",core,365,False
karate-chop,Karate Chop,Fighting,At-Will,2,5,1d8+8,13,Physical,"Melee, 1 Target",Karate Chop is a Critical Hit on 17+.,core,365,False
kinesis,Kinesis,Psychic,Scene,,,,,Status,"6, 1 Target, Trigger, Interrupt","If the user or an Ally within 6 meters is about to be hit by an attack, the user may use Kinesis as an interrupt. The triggering Accuracy Roll receives a -4 penalty. This may cause Moves to miss.",core,421,False
kings-shield,King's Shield,Steel,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use King's Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the attacker's Attack is lowered by 2 Combat Stages.",core,430,False
knock-off,Knock Off,Dark,Scene,2,7,2d6+10,17,Physical,"Melee, 1 Target",Choose one of the target's Held Items or Accessory Slot Items. It is knocked to the ground.,core,351,False
lands-wrath,Land's Wrath,Ground,Scene x2,2,9,2d10+10,21,Physical,"Burst 5, Friendly, Groundsource",None.,core,386,False
laser-focus,Laser Focus,Normal,Scene x2,,,,,Status,Self,The next successful damaging attack made by the user is automatically a Critical Hit.,sumo,19,False
last-resort,Last Resort,Normal,At-Will,2,14,4d10+15,40,Physical,"Melee, 1 Target, Dash","Last Resort can only be used after the user has performed 5 other different Moves in its Move List during a single fight, without being switched out.",core,400,False
lava-plume,Lava Plume,Fire,EOT,2,8,2d8+10,19,Special,Burst 1,Lava Plume burns all targets on 16+.,core,371,False
leaf-blade,Leaf Blade,Grass,EOT,2,9,2d10+10,21,Physical,"Melee, Pass",Leaf Blade is a Critical Hit on 18+.,core,382,False
leaf-storm,Leaf Storm,Grass,Scene,4,13,4d10+10,35,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,core,382,False
leaf-tornado,Leaf Tornado,Grass,EOT,4,7,2d6+10,17,Special,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. On 15+, all legal targets have their Accuracy lowered by -1.",core,382,False
leafage,Leafage,Grass,At-Will,2,4,1d8+6,11,Physical,"6, 1 Target",,sumo,16,False
leech-life,Leech Life,Bug,Scene x2,2,8,2d8+10,19,Physical,"Melee, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",sumo,7,False
leech-seed,Leech Seed,Grass,Daily x2,4,,,,Status,"6, 1 Target","At the beginning of each of the target's turns, Leech Seed's target loses a Tick of Hit Points. Leech Seed's user then gains Hit Points equal to the amount the target lost. Leech Seed lasts until the target faints or is returned to a Poké Ball. Grass Types and targets immune to Grass Attacks are immune to Leech Seed.",core,382,False
leer,Leer,Normal,At-Will,2,,,,Status,"Cone 2, Friendly, Social",All legal targets have their Defense lowered by 1 Combat Stage.,core,400,False
lick,Lick,Ghost,At-Will,2,3,1d6+5,9,Physical,"Melee, 1 Target",Lick Paralyzes the target on 15+ during Accuracy Check.,core,378,False
life-dew,Life Dew,Water,Daily x2,,,,,Status,"Burst 1, Healing",The user and all allies in the burst regain Hit Points equal to 1/4 of their Maximum Hit Points.,new,16,False
light-of-ruin,Light of Ruin,Fairy,Scene,4,14,4d10+15,40,Special,"8, Ranged Blast 3, Smite, Recoil 1/2",None,core,361,False
light-screen,Light Screen,Psychic,Scene,,,,,Status,Blessing,"Blessing - Any user affected by Light Screen may activate it when receiving Special Damage to resist the Damage one step. Light Screen may be activated 2 times, and then disappears.",core,421,False
liquidation,Liquidation,Water,EOT,2,9,2d10+10,21,Physical,"Melee, 1 Target",The target's Defense is lowered by 1 Combat Stage on a 17+.,sumo,24,False
lock-on,Lock-On,Normal,At-Will,,,,,Status,"10, 1 Target","The target is Locked-On. The next Move that the user uses against the Target that requires an Accuracy Check cannot miss. Lock-On's effect, on both the User and Target, is passed on by Baton Pass.",core,400,False
lovely-kiss,Lovely Kiss,Normal,Scene x2,6,,,,Status,"6, 1 Target, Social",The target falls Asleep.,core,400,False
low-kick,Low Kick,Fighting,EOT,2,,See Effect,,Physical,"Melee, 1 Target, Weight Class",Low Kick's Damage Base is equal to twice the target's Weight Class.,core,366,False
low-sweep,Low Sweep,Fighting,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target",Lowers the target's Speed 1 Combat Stage.,core,366,False
lucky-chant,Lucky Chant,Normal,Scene,,,,,Status,Blessing,"Blessing - Any user affected by Lucky Chant may activate it when receiving a Critical Hit to cause the attack to instead deal damage as if it was not a Critical Hit. Lucky Chant may be activated 3 times, and then disappears.",core,401,False
lunar-dance,Lunar Dance,Psychic,Daily,,,,,Status,"8, 1 Target","The user immediately Faints, lowering its Hit Points to 0. The user takes no Injuries from Hit Point Markers when using Lunar Dance. The target is immediately cured of up to 3 injuries, healed to their Maximum Hit Points, and has the Frequency of all Moves restored. Lunar Dance may target a Pokémon in a Poké Ball. Lunar Dance does not restore the Frequency of Healing Wish or Lunar Dance. Injuries healed through Lunar Dance count toward the total number of Injuries that can be healed each day, and this healing is limited by the same.",core,421,False
lunge,Lunge,Bug,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target","Lunge may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Lunge's target receives a -5 penalty to damage rolls for 1 round.",sumo,7,False
luster-purge,Luster Purge,Psychic,Scene x2,2,7,2d6+10,17,Special,"12, 1 Target",Luster Purge lowers the target's Special Defense by 1 Combat Stage on an Even-Numbered Roll.,core,421,False
mach-punch,Mach Punch,Fighting,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Priority",None,core,366,False
mage-armor,Mage Armor,Normal,Scene x2,,,,,Status,Self,Raise the user's Defense by +1 Combat Stage and raise the user's Special Defense by +1 Combat Stage. The user gains +2 Evasion. Limitation: None,edit,,True
magic-burst,Magic Burst,Normal,Scene x2,2,6,2d6+8,15,Special,"Burst 1, Friendly",Foes hit by Magic Burst can't make Attacks of Opportunity for 1 full round.,got,45,False
magic-coat,Magic Coat,Psychic,Daily,,,,,Status,"4, Interrupt, Trigger","If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Interrupt. The Interrupted Move's user is treated as if they were the target of their own Move, with the user of Magic Coat as the user.",core,421,False
magic-missile,Magic Missile,Normal,Scene x2,,3,1d6+5,9,Special,"WR, 1 Target, Five Strike",Magic Missile cannot miss.,edit,55,False
magic-powder,Magic Powder,Psychic,Daily,2,,,,Status,"5, 1 Target",The target gains the Psychic Type in addition to its other Types for 5 turns.,new,13,False
magic-room,Magic Room,Psychic,Daily x2,,,,,Status,Field,"The area becomes Useless for 5 rounds. While Useless, Pokémon may not benefit from the effects of any Held Items, and Trainers cannot benefit from any Accessory-Slot equipment. This does not affect consumable or activated items, only Items with Static effects or Triggers.",core,421,False
magic-weapon,Magic Weapon,Normal,EOT,,,,,Status,Self,"The user gains +1 Special Attack, and increase the user's Accuracy by +1.",edit,54,False
magical-leaf,Magical Leaf,Grass,EOT,,6,2d6+8,15,Special,"8, 1 Target",Magical Leaf cannot miss.,core,382,False
magma-storm,Magma Storm,Fire,Scene,6,10,3d8+10,24,Special,"6, 1 Target",The target is put in a Vortex; this effect occurs even if Magma Storm misses its target.,core,372,False
magnet-bomb,Magnet Bomb,Steel,EOT,,6,2d6+8,15,Physical,"8, 1 target",Magnet Bomb cannot miss.,core,430,False
magnet-rise,Magnet Rise,Electric,Daily x2,2,,,,Status,"Self, Swift Action",The user gains the Levitate Ability for 5 turns. Magnet Rise may be activated as a Swift Action if the user is otherwise given an action that consumes a Command.,core,357,False
magnetic-flux,Magnetic Flux,Electric,Scene x2,,,,,Status,Burst 4,Choose +1 or -1. All targets that are Electric- Type or have the Magnetic Capability receive that many Defense and Special Defense Combat Stages.,new,7,False
magnitude,Magnitude,Ground,EOT,,,See Effect,,Physical,"Burst 2, Groundsource","When you use Magnitude, roll 1d6. Magnitude's Damage Base is equal to 5+X, where X is the value of the d6. Magnitude can hit targets that are underground, including those using the Move Dig.",core,386,False
mat-block,Mat Block,Fighting,Scene,,,,,,"Self, Interrupt, Shield, Trigger","If the user or an adjacent ally is hit by a damaging attack, the user may use Mat Block. The attack instead does not hit any targets, and it deals no damage and no has effects. You may only use Mat Block during the first round of an encounter.",core,366,True
maul,Maul,Normal,Scene x2,2,5,1d8+8,13,Physical,"1 Target, Melee",The target is Flinched.,core,290,False
me-first,Me First,Normal,Scene,,,,,Status,"Self, Trigger, Interrupt","If an opponent declares a Damaging Attack against the user, and Me First's user has a higher Speed stat then the target, the user may use Me First as an Interrupt. The User will then use the same Move the triggering foe was about to use on that foe.",core,401,False
mean-look,Mean Look,Normal,Scene,,,,,Status,"6, 1 Target, Social","The user casts a foul spell on the target, causing it to become Trapped and Slowed for the remainder of the encounter.",core,401,False
meditate,Meditate,Psychic,At-Will,,,,,Status,Self,Raise the user's Attack 1 Combat Stage.,core,421,False
mega-drain,Mega Drain,Grass,At-Will,2,4,1d8+6,11,Special,"6, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",core,382,False
mega-kick,Mega Kick,Normal,Scene x2,6,12,3d12+10,30,Physical,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 2 meters.,core,401,False
mega-punch,Mega Punch,Normal,At-Will,4,8,2d8+10,19,Physical,"Melee, 1 Target",None,core,401,False
megahorn,Megahorn,Bug,Scene x2,5,12,3d12+10,30,Physical,"Melee, 1 Target, Push",The target is pushed 1 Meter.,core,347,False
memento,Memento,Dark,Scene,,,,,Status,"8, 1 Target, Trigger, Free Action",Memento may be used as a Free Action when the user becomes Fainted. Memento's target has each of their stats lowered by -2 CS.,core,351,False
merciful-smite,Merciful Smite,Normal,EOT AC: None Damage Base 5: 1d8+8 / 13,,,,,Special,"WR, 1 Target","Merciful Smite's damage cannot bring a target lower than 1 HP. Merciful Smite cannot miss. Limitation: None Master Weapon Moves Altered Moves: Arcane Storm: AC2, DB9 Bane: AC2, DB8 Cone of Force: AC2, DB9 Energy Vortex: AC4, DB5 Magic Burst: AC2, DB9 Spirit Lance: AC2, DB10",edit,,True
metal-burst,Metal Burst,Steel,Scene,,,See Effect,,Physical,Burst 1,Metal Burst causes all targets in the burst to lose Hit Points equal to the total amount of direct Damage the user has taken since the beginning of this Round. Metal Burst cannot miss.,core,430,False
metal-claw,Metal Claw,Steel,At-Will,3,5,1d8+8,13,Physical,"Melee, 1 Target, Spirit Surge",Raise the user's Attack 1 Combat Stage on 18+.,core,430,False
metal-sound,Metal Sound,Steel,EOT,4,,,,Status,"Burst 2, Friendly, Sonic",All Legal Targets have their Special Defense lowered 2 Combat Stages.,core,430,False
meteor-assault,Meteor Assault,Fighting,Daily x2,2,15,4d10+20,45,Physical,"Burst 1, Smite, Exhaust",,new,9,False
meteor-mash,Meteor Mash,Steel,EOT,4,9,2d10+10,21,Physical,"Melee, 1 Target, Dash, Spirit Surge",Raise the user's Attack 1 Combat Stage on 15+.,core,430,False
metronome,Metronome,Normal,Scene x2,,,,,Status,Self,"Metronome randomly uses any other Move except for After You, Assist, Bestow, Copycat, Counter, Covet, Crafty Shield, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, King's Shield, Metronome, Me First, Mimic, Mirror Coat, Mirror Move, Protect, Quash, Quick Guard, Rage Powder, Sketch, Sleep Talk, Snatch, Snore, Spiky Shield, Switcheroo, Thief, Transform, Trick, and Wide Guard. The GM helps to pick the random Move.",core,401,False
milk-drink,Milk Drink,Normal,Daily x2,,,,,Status,"Melee, 1 Target",The target regains Hit Points equal to half of its full Hit Point value. The user may target themselves with Milk Drink.,core,401,False
mimic,Mimic,Normal,Scene,,,,,Status,"6, 1 Target","Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the user's Move List. Mimic cannot miss.",core,402,False
mind-blown,Mind Blown,Fire,Daily,2,15,4d10+10,45,Special,"6, Ranged Blast 3, Smite",The user's Hit Points are reduced by 50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way.,sumo,13,False
mind-reader,Mind Reader,Normal,Scene,,,,,Status,"6, 1 Target","The target becomes Read to the user until the end of the user's next turn. The user may end this effect when making an Attack on the user, causing that attack to automatically hit; OR when the Read target uses an Attack against the user, causing that attack to automatically miss. If the user has the Telepathy Capability, the user automatically succeeds on a mind- reading attempt against the target, and may listen to the target's surface thoughts as long as they remain Read. Mind Reader automatically misses against targets with the Mindlock Capability.",core,402,False
minimize,Minimize,Normal,Scene,,,,,Status,Self,"The user gains +4 Evasion, and user's size is lowered to Small for the remainder of the encounter.",core,402,False
miracle-eye,Miracle Eye,Psychic,Scene x2,,,,,Status,"Self, Swift Action","Miracle Eye may be activated as a Swift Action on the user's turn. For the rest of the turn, the user's Psychic-Type Moves can hit and affect Dark-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",core,422,False
mirror-coat,Mirror Coat,Psychic,Scene x2,,,,,Special,"Any, 1 Target, Reaction","Mirror Coat may be used as a Reaction when the user is hit by a damaging Special Attack. Resolve the Triggering Attack, with Mirror Coat's user resisting the attack one step further. After the attack is resolved, if Mirror Coat's user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Mirror Coat is Special, and while it cannot miss, it cannot hit targets immune to Psychic-Type Moves.",core,422,False
mirror-move,Mirror Move,Flying,Scene x2,,,,,Status,"6, 1 Target, Illusion",Use the Move the target has used on their last turn. You may choose new targets for the Move. Mirror Move cannot miss.,core,375,False
mirror-shot,Mirror Shot,Steel,EOT,5,7,2d6+10,17,Special,"6, Ranged Blast 2",All Legal Targets have their Accuracy lowered by -2 on 16+.,core,431,False
mist,Mist,Ice,Scene x2,,,,,Status,Blessing,"Blessing - Any user affected by Mist may activate it when having Combat Stages lowered by any effect; if they do, those Combat Stages are instead not lowered. Mist may be activated 3 times, and then disappears.",core,390,False
mist-ball,Mist Ball,Psychic,Scene x2,2,7,2d6+10,17,Special,"12, 1 Target",Mist Ball lowers the target's Special Attack by 1 Combat Stage on an Even-Numbered Roll.,core,422,False
misty-terrain,Misty Terrain,Fairy,Daily x2,,,,,Status,Field,"The area becomes Misty for 5 turns. While Misty, all Pokémon and Trainers standing on the ground ignore the first turn of all Status Afflictions, and Dragon-type attacks targeting or originating from a grounded Pokémon or Trainer take a -10 Penalty to Damage Rolls.",core,361,False
moonblast,Moonblast,Fairy,EOT,2,10,3d8+10,24,Special,"6, 1 Target",Moonblast lowers the target's Special Attack by 1 Combat Stage on 15+.,core,361,False
moongeist-beam,Moongeist Beam,Ghost,Scene x2,2,10,3d8+10,24,Special,Line 6,"This Move ignores any Abilities that would cause it to fail or miss, such as Dodge or Wonder Guard; those Abilities cannot be activated in response to Moongeist Beam.",sumo,15,False
moonlight,Moonlight,Fairy,Daily x2,,,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value.",core,361,False
morning-sun,Morning Sun,Normal,Daily x2,,,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value.",core,402,False
mud-bomb,Mud Bomb,Ground,At-Will,4,7,2d6+10,17,Special,"6, 1 Target",The target's Accuracy is lowered by -1 on 16+.,core,386,False
mud-shot,Mud Shot,Ground,At-Will,3,6,2d6+8,15,Special,"3, 1 Target",The target's Speed is lowed by -1 Combat Stage.,core,386,False
mud-sport,Mud Sport,Ground,EOT,,,,,Status,Burst 2,"All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Electric Type Moves. After a target has been hit by a damaging Electric Type Move, the coat is removed.",core,386,False
mud-slap,Mud-Slap,Ground,At-Will,2,2,1d6+3,7,Special,"3, 1 Target",The target's Accuracy is lowered by -1.,core,386,False
muddy-water,Muddy Water,Water,EOT,5,9,2d10+10,21,Special,Close Blast 2,"As a Shift Action, the user may Move to any open square in Muddy Water's area of effect without provoking any Attacks of Opportunity. On 16+, the Accuracy of all targets is lowered by 1.",core,433,False
multi-attack,Multi-Attack,Normal,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target","Multi-Attack is the same Type as the Memory Disc, Plate, or Drive Item held.",new,12,False
mystical-fire,Mystical Fire,Fire,EOT,2,7,2d6+10,17,Special,"6, 1 Target",Mystical Fire lowers the target's Special Attack by 1 Combat Stage.,core,372,False
nasty-plot,Nasty Plot,Dark,EOT,,,,,Status,Self,Raise the user's Special Attack 2 Combat Stages.,core,352,False
natural-gift,Natural Gift,Normal,Scene,2,,See Effect,,Physical,"6, 1 Target, Berry",Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift's Type is also defined there. The Berry's Digestion Buff is nullified and is not used.,core,402,False
nature-power,Nature Power,Normal,EOT,,,See Effect,,Status,See Effect,Nature Power uses a Move defined by the Environ keyword.,core,402,False
natures-madness,Nature's Madness,Fairy,Scene,4,,,,Special,"4, 1 Target",The target loses 1/2 of their current Hit Points.,sumo,11,False
needle-arm,Needle Arm,Grass,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target",Needle Arm Flinches the target on 15+.,core,382,False
night-daze,Night Daze,Dark,EOT,3,9,2d10+10,21,Special,"4, 1 Target",Night Daze lowers the target's Accuracy by -1 on 13+.,core,352,False
night-shade,Night Shade,Ghost,Scene x2,2,,,,Special,"8, 1 Target",The target loses Hit Points equal to the level of Night Shade's user. Do not apply weakness or resistance. Do not apply stats.,core,378,False
night-slash,Night Slash,Dark,EOT,2,7,2d6+10,17,Physical,"Melee, Pass",Night Slash is a Critical Hit on 18+,core,352,False
nightmare,Nightmare,Ghost,Scene x2,2,,,,Status,"Melee, 1 Target",Nightmare can only hit Legal Targets that are Asleep. The target gains Bad Sleep.,core,378,False
no-retreat,No Retreat,Fighting,Scene,,,,,Status,Self,"The user gains +1 CS in each stat. In addition, the user may not be recalled or switched out until the end of the Scene, and counts as Slowed for the purposes of any movement that would end further away from the nearest enemy than the user started.",new,9,False
noble-roar,Noble Roar,Normal,EOT,2,,,,Status,"Burst 1, Sonic, Friendly, Social",Noble Roar lowers all targets' Attack and Special Attack by 1 Combat Stage.,core,402,False
nuzzle,Nuzzle,Electric,Scene,2,2,1d6+3,7,Physical,"Melee, 1 Target",Nuzzle Paralyzes the target.,core,357,False
oblivion-wing,Oblivion Wing,Flying,Daily,2,8,2d8+10,19,Special,"Melee, 1 Target",The user gains Hit Points equal to Oblivion Wing's Damage Roll.,core,375,False
obstruct,Obstruct,Dark,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Obstruct. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the attacker's Defense is lowered by 2 Combat Stages.",new,5,False
octazooka,Octazooka,Water,At-Will,3,7,2d6+10,17,Special,"6, 1 Target","On an Even-Numbered Roll, the target's Accuracy is Lowered by 1.",core,433,False
