id,name,frequency_action_text,trigger_text,target_text,effect_text,source_id,source_page,needs_review
queenly-majesty,Queenly Majesty,Scene x2 - Free Action,An adjacent foe uses a Priority Move or an Interrupt action,An Adjacent Foe,The user may attack the triggering foe with Stomp as a Free Action Interrupt.,sumo,4,False
quick-cloak,Quick Cloak,At-Will - Standard Action,,,"Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak, using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak. While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage, or if Burmy makes a new Cloak.",core,327,False
quick-curl,Quick Curl,Scene - Free Action,,,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as an Standard Action Interrupt and gain +10 Damage Reduction for 1 full round.,feb2016,8,False
quick-feet,Quick Feet,Static,,,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user's Speed is raised 2 Combat Stages. The user's Initiative is not halved by Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately.",feb2016,8,False
radiant-beam,Radiant Beam,Static,,,"The user may use damaging Grass-Type attacks as if they had a range of ""Line 4"" instead of their usual range.",sumo,4,False
ragelope,Ragelope,Static,,,The user's Physical Attacks gain the following Effect,feb2016,13,False
rain-dish,Rain Dish,Daily x5 - Swift Action,,,The user gains a Tick of Hit Points. Rain Dish may only be used while the user is under 50% Hit Points or in Rainy Weather.,feb2016,8,False
rally,Rally,Scene - Swift Action,,,"The user and all allies within 10 meters may immediately Disengage 1 Meter as a free Action. Rally does not work on sleeping, paralyzed, stuck, fainted, or otherwise incapacitated allies.",feb2016,8,False
rattled,Rattled,At-Will - Free Action,"The user is hit by a Bug, Dark, or Ghost Type Move",,"The user's Speed is raised by +1 Combat Stage, and may immediately Disengage as a Free Action.",feb2016,8,False
razor-edge,Razor Edge,Static,,,"Connection - Poison Tail. The user's Critical Hit Range on all Moves is increased by +2; any Moves with ""Tail"" in their name have their Critical Hit Range increased by +3 instead.",core,327,False
receiver,Receiver,Special - Free Action,,,"Each effect below may be used once per scene when triggered:  When an ally faints, the user selects one of their Abilities. The user gains that Ability until the end of the encounter.  When the user faints, they may grant use of one of their Basic Abilities to an ally on the field for the rest of the encounter.",sumo,4,False
reckless,Reckless,Static,,,"Increases the Damage Base of Moves with the Exhaust, Recoil, or Reckless Keywords by +3. Reckless Moves: Jump Kick, Hi Jump Kick, Close Combat, Draco Meteor, Hammer Arm, Leaf Storm, Outrage, Overheat, Petal Dance, Psycho Boost, Superpower, Thrash, and V-Create.",feb2016,8,False
refreshing-veil,Refreshing Veil,Scene - Free Action,,,"Connection - Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure themselves of all Persistent Status Effects.",core,327,False
refrigerate,Refrigerate,At-Will - Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Ice-Type.,core,327,False
regal-challenge,Regal Challenge,Scene - Swift Action,,Pokémon or Trainer within 5 Meters,"Ask the target if they will show deference or defiance. If they choose Deference, the target loses their next Shift action and loses 3 CS in the Stat of the user's choice. If they choose Defiance, the user gains a +10 Bonus to all Damage Rolls for the rest of the Scene.",feb2016,8,False
regenerator,Regenerator,Daily x2 - Free Action,"The user is recalled into a Poké Ball, or Takes a Breather",,The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once per Scene.,core,328,False
revelation,Revelation,Scene x2 - Free Action,Someone within 10 meters uses a Damaging Dance Move,,The user may immediately use the triggering Move as a Standard Action interrupt.,sumo,4,False
ripen,Ripen,Static,,,"Any numeric benefits of Berry Food Buffs the user trades in are doubled. (Oran Berries restore 10 HP, Liechi increases Attack by +2 CS, Jaboca causes ¼ Hit Point loss, Occa Weakens a Move 2 stages, etc.). This does not increase the number of statuses cured, Scene Moves restored, stats lowered by suppressants, or allow triggering at double the usual HP one must be at.",new,3,False
rivalry,Rivalry,Static,,,"Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by +5.",core,328,False
rks-system,RKS System,Scene - Free Action,,A Trainer or Pokémon within 10 meters,"If the user is hit by a damaging attack, they may calculate damage as if they were Normal-Type instead. If they were already Normal-Type, they instead resist the damage one step further.",sumo,4,False
rock-head,Rock Head,Static,,,"The user ignores the Recoil keyword when attacking. If the user moves at least 4 meters in a straight line towards a foe before attacking that foe with a physical attack, they may add a +2d6 Bonus to the Damage Roll against that foe.",feb2016,8,False
rocket,Rocket,Scene - Free Action,A Round Begins,,"The user may take their turn at the top of the round. Priority, Interrupt, or Reaction Moves or Abilities cannot be declared in response to the user's turn.",feb2016,8,False
root-down,Root Down,At-Will - Shift Action,,,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain 5 Damage Reduction.",feb2016,8,False
rough-skin,Rough Skin,"At-Will - Free Action, Reaction",The user is hit by a damaging Melee Attack,,The attacker loses a tick of Hit Points.,core,328,False
run-away,Run Away,Static,,,The user does not provoke Attacks of Opportunity by Shifting. The user cannot be Trapped.,feb2016,8,False
run-up,Run Up,Static,,,"If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of meters traveled in a direct line as Bonus Damage to a Damage Roll.",core,328,False
sacred-bell,Sacred Bell,Static,,,The user resists Dark and Ghost-Type Damage one step further.,feb2016,13,False
sand-force,Sand Force,Static,,,"While on sandy terrain or in Sandstorms, the user's Ground, Rock, and Steel-Typed damaging moves deal +5 Damage.",feb2016,8,False
sand-rush,Sand Rush,Static,,,"While in Sandstorming Weather or under 50% Max Hit Points, the user's Initiative is doubled.",feb2016,9,False
sand-spit,Sand Spit,"Scene - Free Action, Reaction",The user is damaged by an attack from a foe within 2m,,Connection - Sand Attack. The user attacks the triggering foe with Sand Attack.,new,3,False
sand-stream,Sand Stream,Scene x3 - Swift Action,,,The Weather changes to a Sandstorm for 1 full round.,feb2016,9,False
sand-veil,Sand Veil,Static,,,"The user gains +1 Evasion. This is increased to +2 Evasion while in a Sandstorm or sandy terrain. While in a Sandstorm, the user and adjacent allies do not lose Hit Points due to the Sandstorm.",feb2016,9,False
sap-sipper,Sap Sipper,Scene,,,"The user is immune to the damage and effects of Grass-Type attacks. If the user is hit by a Grass-Type attack, they gain +1 CS in their choice of Attack or Special Attack. Defensive.",feb2016,8,False
schooling,Schooling,Daily - Free Action,,A Trainer or Pokémon within 10 meters,"The user changes to Schooling Forme, and gains Temporary Hit Points equal to half of its own maximum Hit Points. The user cannot gain Temporary Hit Points from other sources while in Schooling Forme. When the user is below half Maximum HP and has no Temporary Hit Points left, they change back into Solo Forme.",sumo,4,False
scrappy,Scrappy,Static,,,Ghost Types are not immune to the user's Normal and Fighting-Type Moves.,core,328,False
screen-cleaner,Screen Cleaner,Daily - Standard Action,,,"All Blessings on the field, both ally and enemy, are removed.",new,3,False
seasonal,Seasonal,Static,,,The user gains an Ability based on the season. - Spring: Run Away - Summer: Grass Pelt - Autumn: Rivalry - Winter: Thick Fat,feb2016,13,False
sequence,Sequence,At-Will - Free Action,The user uses an Electric Attack,,"For every Electric-Type Pokémon adjacent to the user, the triggering Attack deals an additional +3 Damage.",feb2016,9,False
serene-grace,Serene Grace,Static,,,The user's Effect Range is increased by +2.,core,328,False
serpents-mark,Serpent's Mark,Static,,,"Arbok's Advanced and High Abilities depend on the Arbok's hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both parents are Arboks with different patterns, flip a coin to decide which pattern is inherited. Pattern Name - Adv Ability / High Ability 1) Attack Pattern - Strong Jaw / Guts 2) Crush Pattern - Crush Trap / Frisk 3) Fear Pattern - Unnerve / Regal Challenge 4) Life Pattern - Regenerator / Defy Death 5) Speed Pattern - Run Away / Speed Boost 6) Stealth Pattern - Infiltrator / Ambush",feb2016,9,False
shackle,Shackle,Scene - Swift Action,,,Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their next turn.,feb2016,9,False
shadow-shield,Shadow Shield,Static,,,"While at full Hit Points, the user resists all damage one step further. Defensive.",sumo,4,False
shadow-tag,Shadow Tag,Scene - Free Action,,An adjacent Trainer or Pokémon,"The target's shadow becomes pinned to the target's current spot for 5 turns. During this time, the target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to; even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters from that spot.",core,329,False
shed-skin,Shed Skin,Scene - Swift Action,,,"The user is cured of one of Paralysis, Freezing, Burns, Poison, or Sleep.",core,329,False
sheer-force,Sheer Force,Static,,,"Moves with an Effect Range gain a +10 Bonus to Damage, but Effect Ranges can never be triggered.",feb2016,9,False
shell-armor,Shell Armor,Static,,,The user is immune to Critical Hits; they are instead normal hits. Defensive.,core,329,False
shell-cannon,Shell Cannon,Scene - Free Action,,,"When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun, and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so.",core,329,False
shell-shield,Shell Shield,Scene - Free Action,,,Connection - Withdraw. The user may activate this Ability to use Withdraw as an Standard Action Interrupt and gain +10 Damage Reduction for 1 full round.,feb2016,9,False
shield-dust,Shield Dust,Static,,,"The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the user. For example, Flamethrower can never inflict the Burn Condition. Defensive.",core,329,False
shields-down,Shields Down,Static,,,"The user has two sets of base stats; Meteor and Core. The HP of both forms must be the same. When the user is in Meteor Forme and are reduced to half Maximum HP or lower, they change to Core Forme. The user returns to Meteor Forme while outside of combat if above half Maximum HP.",sumo,4,False
silk-threads,Silk Threads,Static,,,"Connection - String Shot. Whenever the user uses String Shot, all targets hit become Slowed and Vulnerable for 1 full round.",feb2016,9,False
simple,Simple,Static,,,"When the Pokémon's Combat Stages are altered, double the amount of Combat Stages they are raised or lowered.",core,329,False
skill-link,Skill Link,Scene - Free Action,The user hits with a Move with the Five Strike keyword.,,The Triggering Move automatically hits 5 Times.,core,329,False
slow-start,Slow Start,Static,,,"For 3 rounds after joining an encounter, the user's Speed and Attack Stats are halved and they have 10 Damage Reduction.",core,330,False
slush-rush,Slush Rush,Static,,,"While in Hailing Weather or under half maximum Hit Points, the user's Initiative is doubled.",sumo,4,False
sniper,Sniper,Static,,,"When the user gets a Critical Hit, the attack deals +3d10 additional damage.",feb2016,9,False
snow-cloak,Snow Cloak,Static,,,"The user gains +1 Evasion. This is increased to +2 Evasion while in Hail or snowy terrain. While in Hail, the user and adjacent allies do not lose Hit Points due to the Hail.",feb2016,9,False
snow-warning,Snow Warning,Scene - Free Action,,,The Weather changes to Hail for 5 rounds. As a static effect the user is not damaged by Hail.,core,330,False
snuggle,Snuggle,Scene - Standard Action,,An adjacent target,The user and the target each gain two ticks of Temporary Hit Points.,feb2016,13,False
sol-veil,Sol Veil,Static,,,"The user gains +1 Evasion. This is increased to +2 Evasion while in Sunny Weather or on grassy terrain. While in Sunny Weather, the user gains +5 Damage Reduction.",feb2016,13,False
solar-power,Solar Power,Scene x2- Swift Action,The user rolls Damage,,"The user loses a Tick of Hit Points, and gains a bonus to the triggering damage roll equal to 5 + their Tick Value. Solar Power may be activated ignoring Frequency while in Sunny Weather.",feb2016,9,False
solid-rock,Solid Rock,Static,,,The user gains +5 Damage Reduction against Super- Effective damage. Defensive.,feb2016,9,False
sonic-courtship,Sonic Courtship,Scene - Free Action,The user uses Attract,,"Connection - Attract. The user may use Attract as if it had a range of ""Burst 3, Sonic, Friendly"".",feb2016,9,False
soothing-tone,Soothing Tone,Static,,,"Connection - Heal Bell. Whenever the user uses a Move that targets allies, those allies gain temporary Hit Points equal to the user's Special Attack. This may affect a specific ally only once per Scene.",feb2016,9,False
sorcery,Sorcery,Static,,,"The user's Base Special Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way.",feb2016,13,False
soul-heart,Soul Heart,Scene x2 - Free Action,A combatant in the encounter Faints,,The user receives +2 Special Attack Combat Stages and gains a tick of Temporary Hit Points.,sumo,5,False
soulstealer,Soulstealer,Scene - Free Action,The user's attack causes a foe to Faint,,"The user removes one Injury from themselves and gains Hit Points equal to 25% of their Max Hit Points. If the triggering attack killed its target, the user instead removes all Injuries and recovers Hit Points equal to 50% of the user's Max Hit Points.",feb2016,10,False
sound-lance,Sound Lance,Scene x2 - Swift Action,The user uses Supersonic,,Connection - Supersonic. The target of Supersonic loses Hit Points equal to the user's Special Attack. This occurs even if Supersonic misses.,feb2016,10,False
soundproof,Soundproof,Static,,,The Pokémon is immune to Moves with the Sonic Keyword. Defensive.,core,330,False
speed-boost,Speed Boost,Static,,,The Pokémon's Speed is raised 1 Combat Stage at the end of each of its turns. Speed Boost has no effect while out of combat.,core,330,False
spike-shot,Spike Shot,Static,,,"The user may use Moves with a Range of ""Melee, 1-Target"" as if they had a Range of ""8, 1-Target"" instead.",feb2016,13,False
spinning-dance,Spinning Dance,At-Will - Free Action,"The user is targeted by an attack, but is missed",,"If not Fainted, Paralyzed, or Asleep, the user gains +1 Evasion and may immediately Shift 1 meter.",core,330,False
spiteful-intervention,Spiteful Intervention,Static,,,"Connection - Spite. The user may use Spite in response to an attack hitting an ally, in addition to hitting themselves.",core,330,False
spray-down,Spray Down,Scene x2 - Free Action,The user hits an airborne target with a ranged 1-target attack,,"The triggering attack's target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",feb2016,10,False
sprint,Sprint,Scene - Swift Action,The user uses the Sprint Action during Combat,,The user gains +2 Speed Combat Stages.,feb2016,10,False
stakeout,Stakeout,Static,,,The user gains a +2d6+4 bonus on damage rolls against foes that were released from a Pokéball or entered the encounter since the user's last turn.,sumo,5,False
stall,Stall,Static,,,"In a round's queue, a Pokémon with Stall is always last. If a Pokémon goes to the end of the queue, the Pokémon with Stall is still the last to move. The user's actions taken on their Initiative Count (not Priority or Interrupt) cannot be Interrupted.",core,331,False
stalwart,Stalwart,"Scene - Free Action, Reaction",The user receives Massive Damage,,"The user's Attack, Special Attack, Defense, and Special Defense all increase by 1 CS.",new,3,False
stamina,Stamina,At-Will - Free Action,The user is hit by a Damaging Attack,,The user receives +1 Defense Combat Stage. Defensive.,sumo,5,False
stance-change,Stance Change,Static,,,"Aegislash has two Stances: Shield Stance and Sword Stance. Its default Stance is Shield Stance. Whenever Aegislash uses a damaging attack, it switches to Sword Stance and swaps its Attack Stat with its Defense and its Special Attack Stat with its Special Defense, without changing Combat Stages. Whenever Aegislash uses King's Shield, Protect, a Status Move that raises Defense Combat Stages, or a Blessing, it switches to Shield Stance and swaps its offensive and defensive Stats back to their original arrangement. Aegislash may also change its Stance as a Full Action.",core,331,False
starlight,Starlight,Daily - Swift Action,,,"The user may activate Starlight while exposed to moonlight or starlight to become Luminous. As a Swift Action, the user may expend the Luminous condition to gain +2 Special Defense CS and +2 Evasion for the rest of the Scene.",feb2016,10,False
starswirl,Starswirl,Scene - Swift Action,,,Connection - Rapid Spin. The user may activate this Ability to user Rapid Spin as a Swift Action.,feb2016,10,False
static,Static,Scene - Free Action,The user is hit by a Melee Attack,,The attacking foe becomes Paralyzed.,core,331,False
steadfast,Steadfast,At-Will - Free Action,The user would be Flinched,,The user's Speed is raised by +1 Combat Stage.,feb2016,10,False
steam-engine,Steam Engine,"Scene x2 - Swift Action, Reaction","The user is hit by a damaging Fire-Type or Water-Type Move, or begins their turn in Rainy Weather",,"Connection - Smokescreen. The user may use Smokescreen as a Free Action, ignoring frequency, centered on the user.",new,3,False
steelworker,Steelworker,Scene - Free Action,The user takes damage while adjacent to its Anchor,,The user calculates damage as if it was only Steel-Typed.,sumo,5,False
stench,Stench,Static,,,"The Pokémon's Moves Flinch Targets on a roll of 18+. If a move already has a chance of Flinching foes, the Effect Range is increased by +3 instead. Whenever the user Flinches a foe with an attack, that foe gains a -2 penalty to Accuracy Rolls for 1 full round.",feb2016,10,False
sticky-hold,Sticky Hold,Static,,,"The Pokémon's held items cannot be stolen, switched, destroyed or dropped.",core,331,False
sticky-smoke,Sticky Smoke,Scene - Free Action,,,Connection - Smokescreen. All targets that begin or end their turn in the target's Smokescreen have their Accuracy lowered by -1. This penalty may occur multiple times. This stacks with the usual penalties from Smokescreen.,core,331,False
storm-drain,Storm Drain,Scene - Free Action,A ranged Water Type Move is used within 10 Meters of the user.,,"The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. the user's Special Attack is then raised by +1 Combat Stage.",feb2016,10,False
strange-tempo,Strange Tempo,At-Will - Special,,,"While Confused, the user may choose either to 1) As a Free Action, not to roll for Confusion, instead acting normally or 2) As a Standard Action, cure themselves of Confusion and gain +2 Combat Stages to the Stat of their choice.",core,331,False
strong-jaw,Strong Jaw,Static,,,"The user has the Damage Base of the following Moves increased by +2; Bite, Bug Bite, Crunch, Fire Fang, Ice Fang, Thunder Fang, Poison Fang, and Hyper Fang.",core,331,False
sturdy,Sturdy,Static,,,"The user is immune to Moves with the Execute Keyword. If a single source of Damage or Hit Point Loss would cause the user to lose more than X Hit Points, the damage or Hit Point loss is instead reduced to X. X is equal to 50% of their Max Hit Points. Defensive.",feb2016,10,False
suction-cups,Suction Cups,At-Will - Shift Action,,,The user gains +5 Damage Reduction for 1 full round.,feb2016,10,False
sumo-stance,Sumo Stance,At-Will - Shift Action,The user hits a foe with a Melee Attack,,The triggering foe is Pushed 1 meter away from the user and the user is immune to Push Effects for 1 full round.,feb2016,10,False
sun-blanket,Sun Blanket,Daily x5 - Swift Action,The user gains Initiative.,,The user gains a Tick of Hit Points. Sun Blanket may only be triggered while the user is under 50% Hit Points or in Sunny Weather.,feb2016,10,False
sunglow,Sunglow,Daily - Swift Action,,,"The user may activate Sunglow while exposed to sunlight to become Radiant. As a Swift Action, the user may expend the Radiant condition to gain +2 Attack CS and +2 Accuracy for the rest of the Scene.",feb2016,10,False
super-luck,Super Luck,Static,,,"The Pokémon's Moves are Critical Hits on 18-20. If a Move already has an extended Critical Hit range, Super Luck extends that range by 2.",core,332,False
surge-surfer,Surge Surfer,Static,,,"On Electric Terrain or while under half maximum Hit Points, the user's Initiative is doubled.",sumo,5,False
swarm,Swarm,Static,,,The user gains Last Chance with Bug.,core,332,False
sway,Sway,"Scene - Standard Action, Interrupt",The user is hit by a damaging Melee attack,,The triggering attack misses the user and hits the foe that made the attack instead. That foe may then be pushed to any empty square adjacent to the user.,core,332,False
sweet-veil,Sweet Veil,Static,,,The user and allies within 3 meters are immune to Sleep. Defensive.,core,332,False
swift-swim,Swift Swim,Static,,,"While in Rainy Weather or under 50% Max Hit Points, the user's Initiative is doubled.",feb2016,11,False
symbiosis,Symbiosis,Scene - Swift Action,,An adjacent ally,"The user choses a Held Item they are holding. If the target is willing, they also gain the effects of the chosen item for the rest of the Scene. Items that are activated at a frequency may be activated independently by the user and the the target.",feb2016,11,False
synchronize,Synchronize,Scene - Free Action,"The user is Paralyzed, Frozen, Burned, Poisoned, or put to Sleep.",,The foe which caused the Status Condition is given the same Status they inflicted.,core,332,False
tangled-feet,Tangled Feet,Static,,,"While Confused or Slowed, the user gains +3 Evasion. The user is immune to the Vulnerable Condition.",feb2016,11,False
tangling-hair,Tangling Hair,At-Will - Free Action,The user is hit by a Melee Attack,,The attacker receives -1 Speed Combat Stage and is Slowed until the end of its next turn.,sumo,5,False
targeting-system,Targeting System,Scene - Free Action,,,Connection - Lock-On. The user may activate this Ability to use Lock-On as a Swift Action.,core,332,False
teamwork,Teamwork,Static,,,"While you are adjacent to an opponent, allies using Melee attacks against that opponent receive a +2 bonus to Accuracy Checks.",core,332,False
technician,Technician,Static,,,Moves with a Damage Base of 6 or lower have their Damage Base increased by +2. This bonus always applies to Moves with the Double Strike or Fivestrike Keywords.,core,332,False
telepathy,Telepathy,Static,,,"The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves.",feb2016,11,False
teravolt,Teravolt,Static,,,"The user's Electric-Type Attacks ignore the effect of enemies' Defensive Abilities, and if they would be resisted they deal neutral damage instead.",feb2016,11,False
thermosensitive,Thermosensitive,Static,,,"While Sunny, the user's Attack and Special Attack are raised by +2 combat stages each. While Hailing, the user's movement capabilities are reduced by half.",core,333,False
thick-fat,Thick Fat,Static,,,The user resists Fire-Type and Ice-Type attacks one step further. Defensive.,core,333,False
thrust,Thrust,Static,,,"All moves used by this Pokémon which consult the Attack stat now have the Push keyword. The default push for moves is 1 meter. If a move already has the Push Keyword, that move may push 1 additional meter.",core,333,False
thunder-boost,Thunder Boost,At-Will - Free Action,An adjacent Ally uses a damaging Electric- Type Move,,The allied target gains a +5 Bonus to its damage roll with the triggering Move. A target may not benefit from more than one instance of Thunder Boost at a time.,core,333,False
tingle,Tingle,At-Will - Free Action,The user hits an adjacent target foe with a 1-Target attack,,The target loses a Tick of Hit Points and takes a -5 penalty to Damage Rolls for 1 full round.,feb2016,13,False
tingly-tongue,Tingly Tongue,Scene x2 - Free Action,The user hits a target with Lick,,"Connection - Lick. Lick's Damage Roll gains a +10 Bonus and automatically paralyses its target. On a roll of 15+, the target automatically fails its Paralysis Save Check on its next turn.",core,333,False
tinted-lens,Tinted Lens,Static,,,The user's Resisted Moves are instead Neutral. The user's Doubly Resisted Moves are instead Resisted. The user's Triply Resisted Moves are instead Double Resisted.,core,333,False
tochukaso,Tochukaso,Static,,,The user resists Bug-Type and Poison-Type attacks one step further. Defensive.,core,333,False
tolerance,Tolerance,Static,,,Any Types resisted by the user are resisted one step further. Defensive.,core,333,False
tonguelash,Tonguelash,Scene x2 - Free Action,The user hits a target with Lick,,Connection - Lick. Lick automatically Paralyzes and Flinches its target.,feb2016,13,False
torrent,Torrent,Static,,,The user gains Last Chance with Water.,core,333,False
tough-claws,Tough Claws,Static,,,The user increases the Damage Base of all Melee Moves by +2.,core,333,False
toxic-boost,Toxic Boost,Scene - Swift Action,,,The user gains +3 Attack and Special Attack Combat Stages. Toxic Boost may only be used while Poisoned or Badly Poisoned.,feb2016,11,False
trace,Trace,Scene - Free Action,,A Trainer or Pokémon within 10 meters,"The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted.",core,333,False
transporter,Transporter,Daily x3 – Free Action,You Teleport Choose One Effect: Connection – Teleport. You activate Teleporter as if your Teleporter value were three times its normal value; or you may take one willing adjacent Pokémon or Trainer along with you as you teleport so long as you are touching them when you activate Transporter. You may expend two uses of Transporter at once to choose both effects. 11 Feb 2016 Playtest New Abilities!,,,feb2016,,True
triage,Triage,Static,,,The user's moves with the Healing keyword may be used as Priority moves.,sumo,5,False
trinity,Trinity,Static,,,"Connection - Tri Attack. You may use Tri Attack as if it had a range of ""Melee, 3 Targets"". Make a different attack roll for each target. If Tri-Attack's effect range is activated, do not roll for the effect; the first target can only be Frozen, the second can only be Burned, and the third can only be Paralyzed. Additionally, you may use Tri-Attack as a Physical Attack if you wish.",feb2016,13,False
truant,Truant,Static,,,"At the beginning of each of its turns, the user must roll 1d20. On a roll of 7 or lower, the target refuses to act; they heal a Tick of Hit Points, and do not get a Standard Action that turn. Turns in which the user refuses to act count towards turns used up by Interrupts or the Exhausted Condition, and the user may make Rolls to cure themselves from Status Effects with a +3 Bonus that turn.",core,334,False
turboblaze,Turboblaze,Static,,,"The user's Fire-Type Attacks ignore the effect of enemies' Defensive Abilities, and if they would be resisted they deal neutral damage instead.",feb2016,11,False
twisted-power,Twisted Power,Static,,,The user adds half of their Attack Stat to the damage rolls of their Special Moves; and the user adds half of their Special Attack Stat to the damage of their Physical Moves. This does not change the Damage Class of any attack.,core,334,False
type-aura,Type Aura,Static,,,The user and all allies within 3 meters gain a +5 Bonus to Damage Rolls with Moves matching the user's Primary Type.,feb2016,13,False
type-strategist,Type Strategist,Static,,Your Pokémon,"Whenever the user uses a Move of the Type associated with Type Strategist, they gain +5 Damage Reduction for one full round. If they are under 1/3rd of their Maximum Hit Points, they instead gain +10 Damage Reduction. Dragon: Command or Intimidate Bug: Command or Survival Dark: Guile or Stealth Ghost: Intimidate or Occult Education Flying: Acrobatics or Perception Fire: Focus or Intimidate Poison: Intimidate or Stealth Psychic: Focus or Occult Education Normal: Charm or Intuition Type Refresh [Branch] [Orders] Prerequisites: Type Ace 2 AP - Standard Action The target regains one use of a Scene-Frequency Move of your Chosen Type, and refreshes the Frequency of all EOT-Frequency Moves of your chosen Type. A Target can be affected by Type Refresh only once per Scene.",core,119,False
ugly,Ugly,Static,,,"The Pokémon's Moves Flinch Targets on a roll of 19+. If a move already has a chance of Flinching foes, the Effect Range is increased by +2 instead. During the Introduction Stage of a Contest using this Pokémon, any 6s that are rolled instead count as 1s.",core,334,False
unaware,Unaware,Static,,,"Whenever the user attacks, they ignore all positive Combat Stages to the target's Defense, Special Defense, and Speed.",sumo,6,False
unbreakable,Unbreakable,Static,,,The user gains Last Chance with Steel.,core,334,False
unburden,Unburden,Static,,,"The default state of the user's Speed is +2 Combat Stages. While holding a Held Item, the user's Speed is lowered by 2 Combat Stages.",feb2016,11,False
unnerve,Unnerve,At-Will - Swift Action,,A foe within 6 meters,The target cannot gain positive Combat Stages or trade in Digestion Buffs for 1 full round.,feb2016,11,False
vanguard,Vanguard,Static,,,The user gains a +5 Bonus to all Damage Rolls against targets with an initiative lower than itself that have not yet acted that round (having Ante'd up your Action via an Interrupt or similar on a previous round does not count as having acted that round).,core,334,False
venom,Venom,Static,,,The user gains Last Chance with Poison.,core,334,False
vicious,Vicious,Scene - Special,The user uses Hone Claws,,"Connection - Hone Claws. When this Ability is activated, choose one effect; the user gains another Standard Action this round; or the user increase their Critical Hit Range on all attacks by +2 for the remainder of the encounter.",core,334,False
victory-star,Victory Star,Static,,,Any allied Pokémon in the encounter gain a +2 Bonus to Accuracy Rolls.,core,334,False
vigor,Vigor,Daily - Free Action,The user uses Endure,,"Connection - Endure. When this Ability is activated, after being set to 1 Hit Point, the user gains a Tick of Hit Points. Furthermore, if the Move that triggered Endure gave the user an Injury from Massive Damage, the user does not gain that Injury. Defensive.",core,334,False
vital-spirit,Vital Spirit,Static,,,"The user is immune to the Sleep condition, and cannot use the move Rest. Defensive.",core,335,False
volt-absorb,Volt Absorb,Static,,,"The user is immune to the damage and effects of Electric-Type attacks, and whenever they are hit with an Electric Type attack, they gain Hit Points equal to a Tick of Hit Points. Defensive.",core,335,False
voodoo-doll,Voodoo Doll,Daily - Free Action,The user uses the Move Curse as a Ghost Type,,Connection - Curse. Choose an additional target within 8 meters of the user to become Cursed.,core,335,False
wallmaster,Wallmaster,Static,,,"Connection - Barrier. Whenever the user uses Barrier, they may choose to either gain +2 Defense Combat Stages, or place 2 additional segments of Barrier.",core,335,False
wandering-spirit,Wandering Spirit,"Scene - Free Action, Reaction",The user is hit by a Melee attack,,"The user exchanges Wandering Spirit with a random Ability of the opposing Pokémon, as per the Move Skill Swap.",new,3,False
wash-away,Wash Away,Daily - Free Action,The user hits with a Water Type Move,,"Before the Move ""hits"", all Combat Stages on targets hit by the Move are reset to their default (usually 0), and all coats on the targets, except ones placed by Water Sport, are destroyed.",core,335,False
water-absorb,Water Absorb,Static,,,"The user is immune to the damage and effects of Water-Type attacks, and whenever they are hit with a Water Type attack, they gain a Tick of Hit Points. Defensive.",core,335,False
water-bubble,Water Bubble,Static,,,"The user resists Fire-Type attacks one step further, is immune to being Burned, and may always act as though in Rainy Weather. Defensive.",sumo,5,False
